"File","Path","LineNum","Text","Priority","Category"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1246","End date cannot be before start date.","HIGH","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","680","End date cannot be before start date.","HIGH","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1057","End date cannot be before start date.","HIGH","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","873","End date cannot be before start date.","HIGH","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1110","Must include uppercase, lowercase, and a number.","HIGH","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1288","All required before submission","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","509","At least one language is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","454","At least one skill is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","610","Company name is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","987","Company name is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","989","Current city is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","889","Current city is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","973","Current country is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","873","Current country is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","802","Degree is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1175","Degree is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1082","Email address is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","293","Employment status is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","657","Employment status is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1039","Enable passport toggle above to make this required","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1188","Field of study is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","815","Field of study is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","507","Gender is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","696","Industry is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1162","Institution is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","789","Institution is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","618","Job title is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","995","Job title is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","670","Job title is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","831","Language name is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","484","Language name is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","700","Location is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1077","Location is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","828","Location is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1201","Location is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","683","Occupation is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1029","Passport nationality is required.","HIGH","Validation"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","929","Passport nationality is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1106","Password is required.","HIGH","Validation"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","429","Skill name is required.","HIGH","Validation"
